id;slug;nome_popular;nome_cientifico;origem;fins_plantio_codigos;fins_plantio;comportamento_folhar_codigo;comportamento_folhar;altura;floracao;cor_floracao;frutificacao;regioes_ocorrencia_cultivo;mapa_regiao;descricao
1;acacia-mimosa;Acácia-mimosa;Acacia podalyraefolia A. Cunn. ex G. Don;Exótica;EX S O FLOR;Espécie exótica | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante;P;Perenifólia;5-7m;julho-agosto;amarela;;Cultivada em todo o Brasil.;mudas/mapas/Acácia_mimosa.jpg;
2;acacia-negra;Acácia-negra;Acacia mearnsii De Willd.;Exótica;EX O IND;Espécie exótica | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala);SD;Semidecídua;8-15m;setembro-novembro;amarelo-claro;;Cultivada no RS, SC e PR.;mudas/mapas/Acácia_negra.jpg;
3;acoita-cavalo;Açoita-cavalo;Luehea divaricata Mart.;Nativa;NA O RMC RAD;Espécie nativa | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;15-25m;;;;Sul da BA, RJ, SP, MG, GO, MS até o RS.;mudas/mapas/Açoita_cavalo.jpg;
4;agulheiro;Agulheiro;Seguieria langsdorffii Moq.;Nativa;NA FA RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Recuperação de áreas degradadas;SD;Semidecídua;8-16m;;;;Sul da BA, MG até SC.;mudas/mapas/Agulheiro.jpg;
5;alecrim;Alecrim;Holocalyx balansae Mich.;Nativa;NA FA S O;Espécie nativa | Consumo animal de frutos e/ou néctar | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural);SD;Semidecídua;15-25m;;;;SP até o RS.;;
6;amora-preta;Amora-preta;Morus nigra L.;Exótica;EX FH FA O;Espécie exótica | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural);D;Decídua;7-12m;;;a partir de setembro;Cultivada no Sul e Sudeste do Brasil.;mudas/mapas/Amora_preta.jpg;
7;angico-branco;Angico-branco;Anadenanthera colubrina (Vell.) Brenan;Nativa;NA FA FLOR RMC RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;12-15m;novembro-janeiro;branca;;MA até o PR e GO. É cultivado em SC e RS.;mudas/mapas/Angico_branco.jpg;
8;angico-vermelho;Angico-vermelho;Parapiptadenia rigida (Benth.) Brenan;Nativa;NA FA O RMC RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;20-30m;;;;MG, MS, SP até o RS.;mudas/mapas/Angico_vermelho.jpg;
9;aperta-goela;Aperta-goela;Gomidesia affinis (Cambess) D. Legrand;Nativa;NA FH FA RMC;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Recuperação de mata ciliar;SD;Semidecídua;4-6m;;;junho-outubro;MG, SP até o RS.;mudas/mapas/Aperta_goela.jpg;
10;araca-amarelo;Araçá-amarelo;Psidium cattleianum Sabine;Nativa;NA FH FA RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Recuperação de mata ciliar | Recuperação de áreas degradadas;P;Perenifólia;3-6m;;;setembro-março;BA até o RS.;mudas/mapas/Araçá_amarelo.jpg;
11;araca-da-serra;Araçá-da-serra;Calycorectes acutatus (Miq.) Toledo;Nativa;NA FH FA O RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;6-14m;;;dezembro-janeiro;MG, SP e PR. É cultivado no RS e SC.;mudas/mapas/Araçá_da_serra.jpg;
